20
100 9900
1 2 405
1 3 92
1 4 782
1 5 114
1 6 983
1 7 135
1 8 21
1 9 932
1 10 677
1 11 903
1 12 276
1 13 356
1 14 780
1 15 838
1 16 966
1 17 635
1 18 915
1 19 113
1 20 868
1 21 946
1 22 308
1 23 197
1 24 847
1 25 145
1 26 684
1 27 244
1 28 990
1 29 603
1 30 234
1 31 625
1 32 460
1 33 212
1 34 72
1 35 211
1 36 133
1 37 276
1 38 20
1 39 740
1 40 423
1 41 986
1 42 657
1 43 305
1 44 23
1 45 728
1 46 434
1 47 567
1 48 850
1 49 202
1 50 44
1 51 360
1 52 634
1 53 987
1 54 893
1 55 867
1 56 907
1 57 525
1 58 541
1 59 358
1 60 650
1 61 955
1 62 888
1 63 184
1 64 61
1 65 217
1 66 419
1 67 351
1 68 466
1 69 406
1 70 918
1 71 307
1 72 204
1 73 177
1 74 511
1 75 916
1 76 142
1 77 420
1 78 280
1 79 372
1 80 451
1 81 278
1 82 767
1 83 533
1 84 17
1 85 461
1 86 791
1 87 297
1 88 445
1 89 890
1 90 48
1 91 462
1 92 122
1 93 161
1 94 103
1 95 138
1 96 54
1 97 116
1 98 483
1 99 198
1 100 897
2 1 488
2 3 791
2 4 402
2 5 792
2 6 810
2 7 230
2 8 845
2 9 385
2 10 644
2 11 735
2 12 547
2 13 556
2 14 693
2 15 647
2 16 601
2 17 432
2 18 819
2 19 492
2 20 694
2 21 889
2 22 468
2 23 651
2 24 501
2 25 329
2 26 464
2 27 173
2 28 119
2 29 83
2 30 508
2 31 395
2 32 338
2 33 716
2 34 11
2 35 740
2 36 163
2 37 634
2 38 789
2 39 949
2 40 562
2 41 13
2 42 172
2 43 120
2 44 891
2 45 260
2 46 541
2 47 179
2 48 407
2 49 120
2 50 963
2 51 962
2 52 20
2 53 299
2 54 856
2 55 545
2 56 2
2 57 897
2 58 720
2 59 41
2 60 204
2 61 600
2 62 212
2 63 261
2 64 123
2 65 91
2 66 216
2 67 618
2 68 972
2 69 981
2 70 78
2 71 886
2 72 953
2 73 708
2 74 606
2 75 714
2 76 156
2 77 56
2 78 183
2 79 818
2 80 970
2 81 655
2 82 700
2 83 662
2 84 729
2 85 449
2 86 280
2 87 94
2 88 661
2 89 964
2 90 388
2 91 710
2 92 820
2 93 443
2 94 289
2 95 531
2 96 709
2 97 917
2 98 953
2 99 544
2 100 869
3 1 363
3 2 463
3 4 405
3 5 468
3 6 805
3 7 300
3 8 578
3 9 36
3 10 986
3 11 731
3 12 183
3 13 14
3 14 137
3 15 433
3 16 129
3 17 545
3 18 692
3 19 560
3 20 169
3 21 226
3 22 228
3 23 253
3 24 374
3 25 773
3 26 60
3 27 295
3 28 11
3 29 225
3 30 263
3 31 821
3 32 571
3 33 883
3 34 744
3 35 990
3 36 644
3 37 557
3 38 154
3 39 101
3 40 906
3 41 235
3 42 22
3 43 387
3 44 357
3 45 665
3 46 435
3 47 259
3 48 969
3 49 722
3 50 541
3 51 296
3 52 78
3 53 900
3 54 134
3 55 504
3 56 437
3 57 275
3 58 191
3 59 978
3 60 524
3 61 380
3 62 447
3 63 959
3 64 407
3 65 167
3 66 375
3 67 475
3 68 483
3 69 699
3 70 458
3 71 315
3 72 342
3 73 851
3 74 21
3 75 68
3 76 947
3 77 568
3 78 634
3 79 260
3 80 482
3 81 543
3 82 638
3 83 541
3 84 235
3 85 225
3 86 868
3 87 690
3 88 724
3 89 818
3 90 145
3 91 498
3 92 775
3 93 901
3 94 811
3 95 743
3 96 659
3 97 516
3 98 859
3 99 726
3 100 663
